epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31.556,1.09296,0.5255,0.816,0.89226,0.86207,0.90247,0.54831,1.418,0.60148,0.8954,0.0011882,0.0011882,0.0011882
43,32.3042,1.02741,0.51955,0.83512,0.93463,0.82177,0.88436,0.54393,1.32731,0.6269,0.89073,0.0011684,0.0011684,0.0011684
44,33.0741,1.04834,0.51861,0.8397,0.90774,0.87356,0.90496,0.57845,1.28936,0.61193,0.89204,0.0011486,0.0011486,0.0011486
45,33.7988,1.01976,0.50576,0.83126,0.8634,0.91954,0.93285,0.58364,1.28133,0.59949,0.89054,0.0011288,0.0011288,0.0011288
46,34.506,1.01486,0.49013,0.8392,0.90207,0.95402,0.95817,0.57006,1.29357,0.58567,0.89882,0.001109,0.001109,0.001109
47,35.1885,1.02901,0.5067,0.84503,0.93792,0.8683,0.93044,0.57128,1.27417,0.60917,0.88688,0.0010892,0.0010892,0.0010892
48,35.8906,0.98689,0.49919,0.83122,0.95995,0.82662,0.92445,0.55737,1.28099,0.57349,0.89437,0.0010694,0.0010694,0.0010694
49,36.5884,1.00039,0.48856,0.83551,0.94763,0.77011,0.87037,0.55155,1.30471,0.63092,0.89408,0.0010496,0.0010496,0.0010496
50,37.2743,0.96851,0.46809,0.82721,0.93344,0.80599,0.93497,0.54624,1.27455,0.64281,0.88707,0.0010298,0.0010298,0.0010298
51,37.9609,0.98241,0.48275,0.8376,0.95927,0.81213,0.92648,0.5374,1.28486,0.60152,0.88483,0.00101,0.00101,0.00101
52,38.6665,0.96792,0.4812,0.84121,0.90462,0.85057,0.89463,0.51464,1.35696,0.64084,0.89132,0.0009902,0.0009902,0.0009902
53,39.3611,1.06691,0.50027,0.82031,0.88899,0.92052,0.93349,0.58,1.26297,0.5733,0.87754,0.0009704,0.0009704,0.0009704
54,40.0219,1.00846,0.48056,0.81432,0.88117,0.85233,0.90627,0.53542,1.32575,0.62317,0.89215,0.0009506,0.0009506,0.0009506
55,40.7104,0.99384,0.49126,0.80031,0.91798,0.90052,0.91638,0.57076,1.29375,0.57903,0.89476,0.0009308,0.0009308,0.0009308
56,41.4077,0.99726,0.46961,0.8244,0.88703,0.89655,0.91588,0.59202,1.29942,0.58638,0.88841,0.000911,0.000911,0.000911
57,42.129,0.97149,0.46953,0.8338,0.95275,0.85057,0.91597,0.55804,1.3239,0.55753,0.89415,0.0008912,0.0008912,0.0008912
58,42.841,0.96805,0.47795,0.8245,0.93319,0.88506,0.92997,0.57295,1.31397,0.57484,0.89258,0.0008714,0.0008714,0.0008714
59,43.5712,0.96888,0.46077,0.84089,0.8674,0.90232,0.92404,0.59229,1.25831,0.58643,0.8867,0.0008516,0.0008516,0.0008516
60,44.5402,0.97639,0.47075,0.8267,0.95614,0.78161,0.89472,0.58676,1.24578,0.60634,0.87954,0.0008318,0.0008318,0.0008318
61,45.2716,0.96933,0.48126,0.81711,0.97017,0.78161,0.91325,0.5942,1.18874,0.58075,0.87337,0.000812,0.000812,0.000812
62,45.9975,0.93181,0.47562,0.81278,0.94673,0.78161,0.9173,0.58171,1.25149,0.59493,0.87753,0.0007922,0.0007922,0.0007922
63,46.7223,0.95745,0.46872,0.82187,0.95086,0.7931,0.92005,0.56345,1.30341,0.6262,0.88338,0.0007724,0.0007724,0.0007724
64,47.5196,0.95236,0.47063,0.82446,0.94152,0.83908,0.93849,0.57613,1.29315,0.59649,0.88659,0.0007526,0.0007526,0.0007526
65,48.2602,0.95449,0.47964,0.81177,0.91376,0.85253,0.94726,0.58652,1.23885,0.63052,0.87656,0.0007328,0.0007328,0.0007328
66,48.9495,0.91565,0.46542,0.8263,0.92559,0.8579,0.92742,0.57924,1.2149,0.5918,0.8793,0.000713,0.000713,0.000713
